Timestamp,Latitude,Longitude,Vehicle_Count,Traffic_Speed_kmh,Road_Occupancy_%,Traffic_Light_State,Weather_Condition,Accident_Report,Ride_Sharing_Demand,Parking_Availability,Emission_Levels_g_km,Energy_Consumption_L_h,Traffic_Condition,Date,Year,Month,Month_Name,Day,Day_of_Week,Day_Name,Week_of_Year,Quarter,Hour,Minute,Is_Weekend,Time_Period,Is_Morning_Peak,Is_Evening_Peak,Is_Peak_Hour,Is_Off_Peak_Hour,Vehicle_Count_Log,Vehicle_Count_Category,Traffic_Speed_Log,Speed_Category,Road_Occupancy_Log,Occupancy_Category,Vehicle_Count_per_Occupancy,Occupancy_per_Vehicle,High_Traffic_Flag,Low_Speed_Flag,Congestion_Risk_Flag,Traffic_Condition_ID,Weather_Condition_ID,Traffic_Light_State_ID,Accident_Report_ID,Time_Period_ID,Speed_Category_ID,Occupancy_Category_ID,Vehicle_Count_Category_ID,Average_Speed_by_Weather,Speed_vs_Weather_Average,Average_Vehicles_by_Traffic_Condition,Vehicles_vs_Traffic_Condition_Average,Average_Vehicles_by_Hour,Vehicles_vs_Hour_Average,Vehicle_Count_Outlier_Flag,Traffic_Speed_Outlier_Flag,Road_Occupancy_Outlier_Flag,Total_Missing_Values_Per_Row,Total_Available_Values_Per_Row,Missing_Value_Percentage_Per_Row
2024-03-01 00:00:00,40.84227529,-73.70314869,205,49.8934348,82.65277993,Yellow,Clear,0,2,45,450.7600551,19.57433653,High,2024-03-01,2024,3,March,1,4,Friday,9,1,0,0,0,Late Night,0,0,0,1,5.327876168789581,At or Above Median,3.9297339329192713,Moderate,4.426674659755708,Very High Occupancy,2.480255354673102,0.4031842923414634,1,0,0,0,0,2,0,2,1,3,0,41.71757820475964,8.175856595240361,182.49241945672773,22.50758054327227,145.91666666666666,59.08333333333334,0,0,0,0,60,0.0
2024-03-01 00:05:00,40.8311194,-73.98735409,202,22.38396487,45.8292978,Green,Clear,0,16,1,321.8003405,5.385553512,High,2024-03-01,2024,3,March,1,4,Friday,9,1,0,5,0,Late Night,0,0,0,1,5.313205979041787,At or Above Median,3.152050525498545,Slow,3.8465090284214876,Moderate Occupancy,4.40766081299199,0.2268777118811881,1,1,1,0,0,0,0,2,2,2,0,41.71757820475964,-19.33361333475964,182.49241945672773,19.50758054327227,145.91666666666666,56.08333333333334,0,0,0,0,60,0.0
2024-03-01 00:10:00,40.81954876,-73.73246186,252,46.88969944,82.7724648,Green,Rain,0,16,49,231.1526548,10.27747749,High,2024-03-01,2024,3,March,1,4,Friday,9,1,0,10,0,Late Night,0,0,0,1,5.53338948872752,At or Above Median,3.868900438285544,Moderate,4.42810437115413,Very High Occupancy,3.044490708460817,0.3284621619047619,1,0,0,0,2,0,0,2,1,3,0,42.50816174258483,4.381537697415169,182.49241945672773,69.50758054327227,145.91666666666666,106.08333333333334,0,0,0,0,60,0.0
2024-03-01 00:15:00,40.72584888,-73.98013411,37,5.730536423,37.69556744,Red,Fog,0,66,10,410.3842921,29.24327945,High,2024-03-01,2024,3,March,1,4,Friday,9,1,0,15,0,Late Night,0,0,0,1,3.6375861597263857,Below Median,1.906654846720976,Very Slow,3.6557250570418294,Moderate Occupancy,0.98154776576564,1.01879912,0,1,0,0,1,1,0,2,3,2,1,40.95627874900964,-35.22574232600964,182.49241945672773,-145.49241945672773,145.91666666666666,-108.91666666666666,0,0,0,0,60,0.0
2024-03-01 00:20:00,40.81326468,-73.96163054,64,61.34803436,22.31335795,Red,Snow,0,3,5,364.4663417,16.80145876,Low,2024-03-01,2024,3,March,1,4,Friday,9,1,0,20,0,Late Night,0,0,0,1,4.174387269895637,Below Median,4.132732145726928,Fast,3.149026498871624,Low Occupancy,2.868237050802118,0.34864621796875,0,0,0,1,3,1,0,2,0,1,1,43.232495734182976,18.115538625817024,53.389972144846794,10.610027855153206,145.91666666666666,-81.91666666666666,0,0,0,0,60,0.0
2024-03-01 00:25:00,40.64111175,-73.82509534,125,9.150745621,72.79990343,Green,Clear,0,78,27,349.0453075,29.80584194,High,2024-03-01,2024,3,March,1,4,Friday,9,1,0,25,0,Late Night,0,0,0,1,4.836281906951478,Below Median,2.3175471629867728,Very Slow,4.3013574230689855,High Occupancy,1.7170352446990875,0.5823992274400001,0,1,0,0,0,0,0,2,3,0,1,41.71757820475964,-32.56683258375964,182.49241945672773,-57.49241945672773,145.91666666666666,-20.916666666666657,0,0,0,0,60,0.0
2024-03-01 00:30:00,40.7971386,-73.79744494,125,9.162774286,34.18201801,Green,Snow,0,21,42,363.745931,18.89057868,High,2024-03-01,2024,3,March,1,4,Friday,9,1,0,30,0,Late Night,0,0,0,1,4.836281906951478,Below Median,2.3187314645220054,Very Slow,3.560535100086082,Moderate Occupancy,3.65689351528137,0.27345614408,0,1,0,0,3,0,0,2,3,2,1,43.232495734182976,-34.069721448182975,182.49241945672773,-57.49241945672773,145.91666666666666,-20.916666666666657,0,0,0,0,60,0.0
2024-03-01 00:35:00,40.81236202,-73.80175125,130,40.9936224,40.42793232,Yellow,Clear,0,92,22,82.19081477,12.11757313,Medium,2024-03-01,2024,3,March,1,4,Friday,9,1,0,35,0,Late Night,0,0,0,1,4.875197323201151,Below Median,3.737517759134304,Moderate,3.723955347047592,Moderate Occupancy,3.2155985364526805,0.3109840947692307,0,1,0,2,0,2,0,2,1,2,1,41.71757820475964,-0.7239558047596404,117.06305084745763,12.936949152542368,145.91666666666666,-15.916666666666657,0,0,0,0,60,0.0
2024-03-01 00:40:00,40.71700628,-73.78956237,67,73.90533684,80.60737469,Green,Clear,0,27,4,477.23242,17.22367898,High,2024-03-01,2024,3,March,1,4,Friday,9,1,0,40,0,Late Night,0,0,0,1,4.219507705176107,Below Median,4.316225140855303,Fast,4.401919633989329,Very High Occupancy,0.8311894570151768,1.2030951446268656,0,0,0,0,0,0,0,2,0,3,1,41.71757820475964,32.187758635240364,182.49241945672773,-115.49241945672773,145.91666666666666,-78.91666666666666,0,0,0,0,60,0.0
2024-03-01 00:45:00,40.87236438,-73.74021,12,65.53559165,47.11495675,Green,Fog,0,28,8,56.86540356,13.04474291,Low,2024-03-01,2024,3,March,1,4,Friday,9,1,0,45,0,Late Night,0,0,0,1,2.5649493574615367,Below Median,4.197737017268486,Fast,3.8735930799198797,Moderate Occupancy,0.2546961905043031,3.926246395833333,0,0,0,1,1,0,0,2,0,2,1,40.95627874900964,24.57931290099036,53.389972144846794,-41.389972144846794,145.91666666666666,-133.91666666666666,0,0,0,0,60,0.0
